aspect,negative,neutral,positive,total
perfect appearance,8,0,0,8
about 54Mbps connection,8,0,0,8
fingers.<br,0,0,8,8
I Pod Touch,8,0,0,8
"durable, attractive, durable, good price",0,0,8,8
12/10/2016<br /><br />  The manufacturer,0,8,0,8
those tiny iPhones,0,8,0,8
his mouses,8,0,0,8
about 500-600 rms tops,0,8,0,8
weighty headphones,8,0,0,8
rugged.<br,0,0,8,8
"perfect fit, seemingly good functionality",0,0,8,8
well designed and quality production value,8,0,0,8
any dead pixels.<br,0,0,8,8
any device/devices,0,8,0,8
about 75 pixels,0,8,0,8
most similarly-priced headsets,0,0,8,8
Some manufacturers,8,0,0,8
Some key combos,8,0,0,8
e.g. a Mac laptop,0,8,0,8
e.g. USB-A adapter,8,0,0,8
finicky software/hardware,8,0,0,8
2.4 smart charger,8,0,0,8
2.4 ghz devices,0,8,0,8
Clarion products,8,0,0,8
any earphones,1,0,7,8
any durability issues,0,8,0,8
any electronic product,8,0,0,8
his old monitor,0,6,2,8
his personal cell phone,0,0,8,8
his own wireless ear vuds,0,0,8,8
No go - at present - per tech,8,0,0,8
streaming capabilities,0,8,0,8
their sweat-proof design,0,0,8,8
their true performance quality,8,0,0,8
their toys.<br /><br />Bose,0,8,0,8
some consistent speeds,0,8,0,8
most small projectors.<br,0,8,0,8
about 64 gb,0,8,0,8
"(yes, an iPod",0,0,8,8
(wireless charging,0,0,8,8
well microphone,0,0,8,8
perfectly fine internet speeds,0,0,8,8
strength/speed,0,8,0,8
Many computers,8,0,0,8
its relatively moderate to high failure rate,8,0,0,8
120 hz,0,8,0,8
those screw-reducer thingies,0,8,0,8
most parts,0,7,1,8
most other webcams,0,0,8,8
most phone or device cases,8,0,0,8
Great compact idea,0,8,0,8
strong and great protection,0,0,8,8
strong and durable material,8,0,0,8
(ultra portable,0,0,8,8
(standardization win,0,0,8,8
perfect product,0,0,8,8
performance.<br /><br />First,8,0,0,8
32GB - 1GB,0,8,0,8
home camera,0,7,1,8
Horrible battery life,8,0,0,8
Horrible camera,8,0,0,8
However the battery charge,0,8,0,8
How much technology,8,0,0,8
each battery pack,0,8,0,8
each controller,0,8,0,8
its read/write rates,0,8,0,8
its rating,5,0,3,8
its router thing,0,8,0,8
perfectly serviceable headphones,0,0,8,8
performance enhancement,8,0,0,8
well constructed and good quality,0,0,8,8
(third-party software,0,8,0,8
any bulky Apps,8,0,0,8
permanent storage,0,2,6,8
Apple's book,8,0,0,8
Apple's applications,8,0,0,8
Apple's earbuds,0,0,8,8
right buttons,8,0,0,8
those slim cameras,0,0,8,8
most other cables,0,4,4,8
most other 7.1 digital camera,0,0,8,8
most other hdmi output devices,0,8,0,8
most other computer,0,8,0,8
Solid screen,0,0,8,8
Home security system,0,8,0,8
any charging attempts,8,0,0,8
any card reader/computers,0,8,0,8
Charging) USB,0,8,0,8
32mb cache,0,0,8,8
technical performance,8,0,0,8
well old projectors,8,0,0,8
Charging Cover,0,8,0,8
most mobile devices,1,7,0,8
most online audio tasks,0,0,8,8
those outstanding manual controls,8,0,0,8
those pricey headphones,0,1,7,8
those power bricks,0,8,0,8
those power adapter,0,8,0,8
fine and battery life,0,8,0,8
strong quality,0,8,0,8
4ghz,0,5,3,8
stronger… sound cuts,8,0,0,8
any bluetooth earpiece,8,0,0,8
absolute quality,0,7,1,8
any audio recorder,8,0,0,8
what airpods,8,0,0,8
rich clear sound,8,0,0,8
those same metal pieces,0,8,0,8
120mb,0,4,4,8
some crispness,0,0,8,8
<br />Sound quality,0,0,8,8
each ear piece,4,4,0,8
each individual part,0,0,8,8
each individual device,0,8,0,8
Solid charging,0,0,8,8
"technical support"" GEARHEAD plan",8,0,0,8
32Mb-C,8,0,0,8
ac supply,0,8,0,8
Charges phones,0,1,7,8
Charge:&#34,0,8,0,8
Soft-touch rubber = dust and fingerprint magnet<br />❌ LED,0,0,8,8
Soft ear pads,0,8,0,8
Solid cables,0,1,7,8
Solid battery backup,0,0,8,8
each musical instrument,0,0,8,8
"So, sound quality",0,8,0,8
Solar charging,0,8,0,8
Great earphone,8,0,0,8
any average user,0,8,0,8
(no VOIP phone,8,0,0,8
(not the screen size,0,8,0,8
home speakers,0,8,0,8
No bluetooth support,0,8,0,8
stronger and better defined bass,0,8,0,8
No charges,0,8,0,8
any audiophile,5,0,3,8
its own volume controls,0,8,0,8
Mediabridge Products,0,3,5,8
its performance.<br />We,8,0,0,8
any advanced features,0,8,0,8
phone call quality,7,1,0,8
phone call AND navigation ability,0,0,8,8
any attached drives,0,8,0,8
(not a tech-savvy person,0,0,8,8
what charger,6,2,0,8
what charge,7,0,1,8
1280x720 HD,0,8,0,8
1280x1024 resolution,0,8,0,8
128 mb,8,0,0,8
<br />Just average compactness<br />Face recognition,0,0,8,8
<br />Great quality,0,0,8,8
some descent 2.4Ghz performance,0,0,8,8
any analysis,0,8,0,8
reviews.<br,2,6,0,8
what device(s,0,8,0,8
magnetic feature,0,8,0,8
magnetic charging,0,8,0,8
each wireless device,0,8,0,8
So many missing features,8,0,0,8
<br />Bluetooth handsfree,0,0,8,8
<br />Battery life,8,0,0,8
Cd portion,0,8,0,8
phone device,8,0,0,8
Case portion,0,8,0,8
Center resolution,8,0,0,8
Cell phones,0,6,2,8
technical help,8,0,0,8
technical experience.<br,0,8,0,8
any additional RAM needs,0,8,0,8
what feature,0,0,8,8
what measurement,0,8,0,8
its own mouse,8,0,0,8
Nintendo's controllers,0,8,0,8
No USB connectors,0,8,0,8
earpads,1,0,7,8
Great gaming mouse,6,0,2,8
most electronic products,8,0,0,8
most film content,8,0,0,8
some decent sound,1,7,0,8
file transfer speed,7,0,1,8
No battery life,8,0,0,8
horrible Bluetooth performance,8,0,0,8
Mediasonic support,8,0,0,8
4g devices,0,8,0,8
its own convenient sleeve.<br,8,0,0,8
Nikon quality,0,7,1,8
honestly the app,0,0,8,8
No App,0,8,0,8
phone.<br /><br />IOS app,0,8,0,8
actual hardware,8,0,0,8
actual earbuds,8,0,0,8
"phone, not music",8,0,0,8
"phone, credit cards",0,0,8,8
Canon's chargers,8,0,0,8
most dash cameras,0,8,0,8
earphones.<br,2,0,6,8
major electronics,0,1,7,8
Quite disappointed.<br /><br />Battery life,8,0,0,8
mainly a sound bar,8,0,0,8
any USBC,0,8,0,8
sturdy-feeling---,8,0,0,8
(just like 2007 technology cameras,0,0,8,8
phone/cable/satellite cables,8,0,0,8
phone/works,8,0,0,8
any Processor/Memory intensive Apps,8,0,0,8
those huge bezels,0,8,0,8
128GB cards,0,8,0,8
most cheap speakers,8,0,0,8
<br /><br />Parts,8,0,0,8
some design reason,0,8,0,8
those junk portable cd players,0,8,0,8
actually had10% battery,8,0,0,8
replacements parts,0,8,0,8
resolution things,0,8,0,8
resolution and picture quality,8,0,0,8
Mediabridge quality,0,1,7,8
3510 MB/S,8,0,0,8
49 Mbs,0,8,0,8
any GPS unit,1,7,0,8
added mouse/kybd,0,8,0,8
any Kindle model,0,0,8,8
any Kindle device,0,8,0,8
Applicable model,8,0,0,8
what phones,0,8,0,8
what ram,0,8,0,8
whatever 3rd party software,0,8,0,8
any GPS ability,8,0,0,8
mainly the space bar,8,0,0,8
mainly the power button,8,0,0,8
easy and fast access,0,7,1,8
earpieces swivel,0,0,8,8
34Mb,0,8,0,8
Meh - really cool design,8,0,0,8
its own charge.<br />The battery life,0,8,0,8
physical item D-,0,8,0,8
replacement keyboard,0,8,0,8
replacement brand batteries,0,8,0,8
physical defects,0,8,0,8
Camera adapter,0,8,0,8
those flat RCA,0,8,0,8
those few apps,0,0,8,8
<br />-mediocre battery life,8,0,0,8
few furnishings,0,8,0,8
RADIATORS,0,8,0,8
fifteen buttons,0,8,0,8
Quite some softwares,0,8,0,8
added video capabilities,0,8,0,8
any HD usage,0,8,0,8
tech help,5,0,3,8
its outstanding picture quality,0,0,8,8
additional pads,0,0,8,8
additional microphone,8,0,0,8
additional controls,0,2,6,8
any DSLR camera,8,0,0,8
physical computing,0,6,2,8
additional sync devices,8,0,0,8
any Alexa capability,8,0,0,8
most action cams,0,8,0,8
edge resolution,0,8,0,8
Smart cover,7,0,1,8
eclipse shape charging box,8,0,0,8
"easy to use, terrific optical zoom, descent battery life",0,0,8,8
12mb,0,0,8,8
48Mbs,0,8,0,8
either a genuine Canon battery,0,8,0,8
some excellent features,8,0,0,8
either a weak battery,8,0,0,8
feature&#34,8,0,0,8
features?<br,8,0,0,8
features.<br /><br />I,8,0,0,8
R3 board,0,0,8,8
manual customizable options,0,0,8,8
manufacturer's name,0,8,0,8
either GO devices.<br,0,8,0,8
most USB,0,1,7,8
remote laptops,0,0,8,8
renewed parts,8,0,0,8
Cable management provisions,0,8,0,8
Cable cord,8,0,0,8
tech person,1,7,0,8
Mic Audio,0,8,0,8
"Nice, sturdy design",0,0,8,8
Night time quality,8,0,0,8
picture sharpness,0,8,0,8
picture quality settings,0,8,0,8
picture quality great night vision,0,0,8,8
CORD,1,5,2,8
picture quality and cloud service,8,0,0,8
picture display quality,0,8,0,8
picture degradation,8,0,0,8
CPU fan,1,7,0,8
CPU coolers,0,3,5,8
manufacture battery,0,8,0,8
manufacturers defect,8,0,0,8
those cool airpods,0,0,8,8
those components,1,7,0,8
CORSAIR DOMINATOR,8,0,0,8
Nice wireless mouse,0,0,8,8
what tools,7,1,0,8
what switches,7,1,0,8
whatever cords,8,0,0,8
whatever connectivity issues,0,0,8,8
CPU cooler,0,6,2,8
CPUs,1,3,4,8
how many more components,8,0,0,8
Mhz,0,8,0,8
either ear-piece,8,0,0,8
"Small, poor quality",8,0,0,8
Great little basic screen,0,0,8,8
most Optoma projectors,8,0,0,8
those camera,5,3,0,8
their wifi video doorbell,0,8,0,8
whatever screen,0,8,0,8
another standard,0,8,0,8
another smart watch brand,0,8,0,8
Asus P3C-WS Mobo,0,8,0,8
tabletop product photos,0,0,8,8
some silicone,0,8,0,8
more video recording,8,0,0,8
<br />- Impressive looking design,0,0,8,8
<br />- Great battery life,0,0,8,8
those Sony Trinitron monitors,8,0,0,8
stylus use,0,0,8,8
tape recorder,0,8,0,8
3666Mhz,0,8,0,8
reliable wifi,5,2,1,8
CPU performance,7,0,1,8
CNC machine).<br />Product picture,0,8,0,8
Micro-USB ports,0,8,0,8
adjacent electronics,0,8,0,8
another storage/organization option,8,0,0,8
adspters,0,8,0,8
whatever speakers,0,8,0,8
reliable use,7,0,1,8
pixel quality,8,0,0,8
advertisements&#34,0,8,0,8
either the remote button,8,0,0,8
more touch responsive keyboards,8,0,0,8
Great little mouse,0,0,8,8
more useful programs,8,0,0,8
RCA tablet,8,0,0,8
http://www.amazon.com/Anker-Devices-Including-MacBook-ChromeBook/dp/B0119EIHTG/ref=sr_1_4?s=electronics&ie=UTF8&qid=1465228393&sr=1-4&keywords=anker+usb-c,8,0,0,8
https://vip.asus.com/forum/view.aspx?SLanguage=en-us&id=20150408184108079&board_id=11&model=RT-AC68U&page=1&count=13,8,0,0,8
its optical sensor,8,0,0,8
another phone charger,0,8,0,8
(definitely not USB-C,0,8,0,8
another programmable vertical mouse,0,8,0,8
advertised specs,7,1,0,8
advertised picture quality,8,0,0,8
another portable HD,0,0,8,8
many 'cheaper' systems,0,8,0,8
many Cable Matters products,8,0,0,8
many Sony products,0,0,8,8
more widget,0,0,8,8
Small and low profile,0,8,0,8
Great little speakers,0,0,8,8
more than one gadget,0,8,0,8
14 M pixel resolution,0,8,0,8
i.e. not heavy use,8,0,0,8
i.e. external monitor,8,0,0,8
(affordable) headphones,0,0,8,8
whether or not the battery life,8,0,0,8
another old Plantronics headset,0,0,8,8
Asus motherboards,0,3,5,8
Asus monitor,0,8,0,8
reliable and high quality,0,0,8,8
more traditional mics,0,0,8,8
those USB port kind,0,0,8,8
some extra discs,0,8,0,8
them.<br />Image quality,0,8,0,8
thelarger 128 Gig version,8,0,0,8
plantronics headset,8,0,0,8
plastic desk,0,8,0,8
i95,8,0,0,8
tablet users,0,8,0,8
its motion detector,0,8,0,8
iPad Mini.<br />Overall,0,0,8,8
such a $230 fragile device,0,8,0,8
CD and tape players,0,8,0,8
plastic moving parts,0,8,0,8
which memory card,0,8,0,8
many adapters,5,2,1,8
their wires,0,7,1,8
"Slow, out dated and poor performance",8,0,0,8
more than enough storage,0,0,8,8
Great look length,0,0,8,8
"more than capable, Sandisk Ultra 2TB",0,0,8,8
electrical performance,0,8,0,8
electrical outlet,5,1,2,8
Microsoft mapping software,0,8,0,8
Microsoft Mobile Mouse,0,8,0,8
Microphonics,0,8,0,8
C920s,0,0,8,8
pleasant look,0,0,8,8
plugs.<br,0,1,7,8
electrical/software issues,8,0,0,8
Slowest computer,8,0,0,8
more than 10 devices,8,0,0,8
third-party software.<br,0,0,8,8
144Mbps,0,8,0,8
thorough manual controls,0,8,0,8
faster downloads,0,1,7,8
RT-AC68,0,7,1,8
faster processor,0,0,8,8
many SIP-based IP phones.<br,8,0,0,8
regular speeds,0,8,0,8
regular speed,0,6,2,8
iOS 8 compatibility.)<br,0,0,8,8
Buy Linksys,0,0,8,8
another electronic project,0,0,8,8
"age appropriate, great screen",0,0,8,8
fast-charging and other times,0,8,0,8
faster internet speed,0,8,0,8
another electronic device,0,8,0,8
regular ear phones,0,0,8,8
regulations,7,0,1,8
Asus units,0,8,0,8
system power,7,0,1,8
tablet PC,0,0,8,8
t240HD,0,0,8,8
tablet needs,0,8,0,8
3D playback,8,0,0,8
such a cheap audio device,8,0,0,8
aftermarket head unit,0,8,0,8
(Samsung,5,2,1,8
wi-fi signals,0,8,0,8
again.<br />The charger port cover,8,0,0,8
its microphone,0,0,8,8
iPad keyboards,8,0,0,8
"iPad,iPhone and iPod 📱",8,0,0,8
its longer term durability,0,8,0,8
all 12 units,0,8,0,8
another companies camera,0,8,0,8
electrics,0,8,0,8
electronic parts purchases,8,0,0,8
some fast chargers,8,0,0,8
fast storage drives,0,8,0,8
tablet computer,8,0,0,8
Mini H7 2.4GHz Wireless Entertainment Keyboard,0,0,8,8
But no complaints,0,7,1,8
450 mb,0,8,0,8
such a cheap case,8,0,0,8
all 3.5 jack electronic equipments,0,0,8,8
But overall good quality camera,0,0,8,8
poor mic,8,0,0,8
Bulky and minimal range,0,8,0,8
Built and sound quality,0,0,8,8
more reliable units,8,0,0,8
1450 GPS data cable.<br,0,8,0,8
more secure-fit and extended comfort,0,8,0,8
more screen shots,0,8,0,8
2-3 MBPS,0,8,0,8
fast refresh rates,8,0,0,8
Built-in cables,8,0,0,8
whistle type features,0,0,8,8
whose devices,0,8,0,8
poor-mediocre battery life,8,0,0,8
all 4 chargers,2,0,6,8
all 4 cameras recording,0,0,8,8
poor durability,0,0,8,8
2)  Function keys,0,8,0,8
some serious firmware,8,0,0,8
many different apps,8,0,0,8
fast drives,0,0,8,8
electronic tv cords,0,8,0,8
electronics expo,0,0,8,8
some gadgets,0,8,0,8
more resolution choices,0,0,8,8
refurbished hardware,8,0,0,8
refreshing - wireless,0,0,8,8
3D capabilities,0,8,0,8
system specs,8,0,0,8
popular apps,8,0,0,8
wifi access points,0,8,0,8
reduced charge,0,8,0,8
regular USB,1,2,5,8
regular TR6,0,8,0,8
(Moto Q9C,0,0,8,8
wifi coverage,1,0,7,8
fast broadband internet,0,0,8,8
elegantly designed run bag,0,0,8,8
"thin, light",0,0,8,8
thin vinyl,7,1,0,8
more pc knowledge,0,0,8,8
Great pocket camera,0,0,8,8
more precise placment,0,8,0,8
more power hungry accessories,8,0,0,8
its lighter weight,0,0,8,8
all AC adapters,8,0,0,8
Audio Technicas,0,0,8,8
refresh rate.<br,0,1,7,8
Brand new phone,0,8,0,8
elsewhere.<br />-Front fingerprint sensor,0,0,8,8
enabled device.<br,8,0,0,8
Skullcandy SC-BHESH07 Hesh Headphone,0,8,0,8
9Mb,0,8,0,8
fast 5g speeds,8,0,0,8
all 7.1 speakers,0,8,0,8
another apple charger,8,0,0,8
por el costo pienso que es una cámara muy buena,0,8,0,8
Broadband Internet,0,8,0,8
iPhone and Kindle Fire.<br />Cons,0,0,8,8
iPhone size,0,8,0,8
iPhone mic/headphones,0,8,0,8
Both my iPod Touch,0,0,8,8
another Garmin device,8,0,0,8
another GPS dash cam,0,8,0,8
Both the camera,0,6,2,8
Both the battery,0,8,0,8
iPhone/iPad fanatics,0,0,8,8
iPhone.<br />1,8,0,0,8
more metal components,0,8,0,8
Size Screen Fit,0,8,0,8
all Amazon devices,8,0,0,8
all Anker products,0,0,8,8
Both unacceptable performance changes,8,0,0,8
its just the mini part,0,8,0,8
such a battery,0,8,0,8
another Panasonic anything,8,0,0,8
another Samsung 3D player,0,8,0,8
wifi sites,8,0,0,8
will rapid-charge,0,0,8,8
(Genuine) DJI Props,8,0,0,8
another Clarion product,8,0,0,8
another JVC product,8,0,0,8
far too little quality control,8,0,0,8
fast RAID,0,8,0,8
fast M.2 SSD,8,0,0,8
many different sound bars,0,0,8,8
some good speakers,8,0,0,8
some great kids’ apps,0,0,8,8
its job/fast charge,0,8,0,8
Audiophile forums,8,0,0,8
portable options,0,0,8,8
recording device setup,0,0,8,8
portable large storage,0,0,8,8
another 8gb one.<br,0,8,0,8
ideal sound,0,0,8,8
iPod's big brother.<br,0,0,8,8
iSmart's Smart Switch,8,0,0,8
its high gloss nature,8,0,0,8
its image quality,1,0,7,8
another ASUS N66U,0,0,8,8
portable messaging,8,0,0,8
enough distortion,8,0,0,8
enough decent reviews,0,0,8,8
more expensive LinkSys/Cisco routers,0,0,8,8
enough resolution,0,0,8,8
many hard drives,0,7,1,8
far better sound quality,8,0,0,8
its integrated drive,0,0,8,8
all LCD screens,8,0,0,8
"Nice outside, water resistant fabric",0,0,8,8
all a great little device,0,0,8,8
Both battery,7,1,0,8
portable weather alert radios.<br,8,0,0,8
Bose headsets,0,0,8,8
potential cosmetic preferences,0,8,0,8
High End Mac users,0,8,0,8
Hey great price point good quality camera,0,0,8,8
enough ram 8 gigs,8,0,0,8
"more durable, stronger, lightweight materials",0,8,0,8
1500 reviews,0,8,0,8
(AirPods,8,0,0,8
winter storage,0,1,7,8
windows' tools,0,0,8,8
angle capabilities,8,0,0,8
anker's cable,0,8,0,8
Shure quality,8,0,0,8
windows media,0,1,7,8
android or any electronic device,0,0,8,8
recognizing unit,0,8,0,8
Nice looking backpack,0,8,0,8
Nice metallic laptop,0,0,8,8
imesh compatable.<br,0,8,0,8
imaging quality,8,0,0,8
3mbs internet speed test,8,0,0,8
image-conscious headphones,8,0,0,8
environmental sounds.<br,8,0,0,8
equipment name/description,0,8,0,8
then the newer &#34;no keyboard&#34,0,8,0,8
there home security services,0,0,8,8
its hardware,0,6,2,8
its high reviews,0,0,8,8
its good features,0,0,8,8
Most apps,1,0,7,8
all around sound,0,0,8,8
analog page turn buttons,0,8,0,8
and the next track button,0,8,0,8
portable/reliable external hard-drives,0,0,8,8
pour quality,8,0,0,8
wireless AC 50-60mbps down / wireless,0,0,8,8
especially C206 Chipset ASUS).<br,0,0,8,8
15MB/s,8,0,0,8
ergonomic stuff,0,0,8,8
equipments,0,8,0,8
Great quality cord,0,0,8,8
Great quality picture,0,0,8,8
more cloudcams,0,8,0,8
more design,7,0,1,8
power cords-,0,8,0,8
power adaptors,7,1,0,8
Blurry fingerprints,8,0,0,8
Blur,7,1,0,8
Bose QC15,1,7,0,8
its functionality hinges,8,0,0,8
its functionality flaws,8,0,0,8
Nice looking device,8,0,0,8
image resolution,0,0,8,8
impeccable wi-fi connectivity,0,0,8,8
far better products,8,0,0,8
many high-capacity batteries,0,8,0,8
many logitech products,8,0,0,8
es de 1080p pero,8,0,0,8
es como si hubiera un desenfoque de movimiento como un blur al mover rapido la camara,0,8,0,8
some high-end headphones,0,0,8,8
such a finely designed model,0,0,8,8
its ethernet,8,0,0,8
Most cheap apple headphones,8,0,0,8
(2) the wireless antenna,8,0,0,8
especially the HD Audio,8,0,0,8
more and more faulty devices,8,0,0,8
more back up and recovery features,0,0,8,8
Great quality mouse,0,0,8,8
fancy options,8,0,0,8
fantastic budget headphones,0,0,8,8
fantastic sound quality,5,0,3,8
Really a good device,0,0,8,8
immersive sound,0,7,1,8
426 3 Wenge five speaker system,0,8,0,8
"amazing, beautiful display",0,0,8,8
wireless HD,0,8,0,8
wireless cameras&#34,8,0,0,8
reasonable optical characteristics,0,0,8,8
Awecome sound,8,0,0,8
reasonable connection,8,0,0,8
all different head sizes,0,8,0,8
amazing wifi,0,0,8,8
reasonable speeds,7,1,0,8
"reasonably priced, medium quality earbuds",0,8,0,8
reasonably priced batterys?<br,8,0,0,8
fancy buttons,0,0,8,8
fancy bendy things,0,8,0,8
some really excellent quality footage,0,0,8,8
some really ugly softness,8,0,0,8
especially the power button,8,0,0,8
Shape,5,3,0,8
all camcorders,8,0,0,8
alternative cameras,8,0,0,8
power settings,7,0,1,8
power savings,0,0,8,8
power switches,0,8,0,8
Nice little portable monitor,8,0,0,8
Nice little CD player,0,0,8,8
Server storage,0,8,0,8
some inexpensive GPS loggers,0,8,0,8
927 Mbs,0,8,0,8
92 FPS SO,0,8,0,8
941 Mbps,0,8,0,8
Really cute design,0,0,8,8
fan manufacturer,0,8,0,8
fancy ipod-like stuff,8,0,0,8
power supplies.<br,8,0,0,8
(1080p video,0,8,0,8
modern sensors,0,0,8,8
Bluetooth radios,0,8,0,8
Bluetooth option,0,7,1,8
power-hungry devices,0,7,1,8
power-cord,8,0,0,8
rear USB ports,8,0,0,8
reasonable and picture clarity,0,0,8,8
4 DEVICES SEAMLESSLY,0,0,8,8
Hewlett Packard,7,0,1,8
Heron and/or Realtek,0,8,0,8
Her iPad,8,0,0,8
some important areas,0,0,8,8
evaluation purposes,0,8,0,8
even 720p,8,0,0,8
"Second, the web capabilities",8,0,0,8
monitor screen details,0,8,0,8
inadequate little device,8,0,0,8
its customizability,0,0,8,8
its designers,8,0,0,8
Bluetooth mp3 player,8,0,0,8
alternate earpieces.<br,8,0,0,8
wireless connection work,8,0,0,8
'super smart' processor,0,0,8,8
'saved' wireless networks,8,0,0,8
(1) its display,8,0,0,8
all digital media,0,8,0,8
factory-standard settings,0,8,0,8
fairly good marble design,8,0,0,8
some rca bunny ears,0,0,8,8
even Sony,0,8,0,8
modern computers,1,0,7,8
"modern, disposable electronics",8,0,0,8
practical design,0,0,8,8
practical aspects,8,0,0,8
practical and good quality usb,0,0,8,8
included Media Center remote control,0,8,0,8
Nice inexpensive monitor,0,0,8,8
its design and battery capacity,0,0,8,8
these speaker adapters,0,5,3,8
Screen Display,0,8,0,8
Screen video quality,8,0,0,8
Screen uniformity,0,0,8,8
even a blurry video,0,8,0,8
modern components.<br,0,0,8,8
"some quick, rough, tuning",0,8,0,8
factory replacement,0,8,0,8
factory radio,7,1,0,8
4 Cloud Cams,8,0,0,8
such a limited battery option,8,0,0,8
increased battery life,2,1,5,8
Nice heavy cord,6,0,2,8
incompatible hardware,8,0,0,8
incoming voice quality,0,0,8,8
almost the same quality,0,7,1,8
also a 120gb,0,8,0,8
Awesome headset,0,0,8,8
'Electronica Direct,0,8,0,8
also a Sony,0,8,0,8
"these so-called ""good reviews",8,0,0,8
modem/router) unit,0,8,0,8
91 mbps,8,0,0,8
model laptop,0,8,0,8
16 ohms,0,8,0,8
powered devices,0,8,0,8
'hot keys' alot,8,0,0,8
almost any phone case,0,0,8,8
almost any phone,0,0,8,8
almost any other headphone manufacturer,0,0,8,8
4 ASMEDIA controllers,0,0,8,8
incredible sound,0,0,8,8
its compact look,0,7,1,8
even an AV cable,0,8,0,8
mobile phone pocket,0,0,8,8
modern SDKs,8,0,0,8
modern computing.<br,8,0,0,8
these simple GPS units,8,0,0,8
almost any other device,0,0,8,8
almost every other wireless keyboard,8,0,0,8
almost studio-quality shots.<br,0,0,8,8
really not the best images,8,0,0,8
missed keystrokes,7,1,0,8
even better photos,0,0,8,8
fabulous aesthetics,0,0,8,8
eye-popping miniature design w/significant 16G,0,0,8,8
these 2 part things,0,8,0,8
these 2 devices,7,0,1,8
many other Panasonic cameras,0,8,0,8
many other devices,3,3,2,8
even basic internet use,0,8,0,8
Samsung.<br />The rubber edges,0,0,8,8
Samsung.<br /><br />I,0,0,8,8
"Sandisk ""Endurance"" SD cards",0,8,0,8
some light apps,0,0,8,8
some letter keys,8,0,0,8
some less powerful adapters.<br,0,0,8,8
900+ Gigs,0,0,8,8
incremental and light personal use,8,0,0,8
incredibly light weight,0,0,8,8
individual outlets,0,7,1,8
Nice expensive little camera,0,0,8,8
super tech,0,0,8,8
super sturdy construction,0,0,8,8
really hardware,0,8,0,8
really great picture quality,0,0,8,8
really long battery life,0,0,8,8
premium quality,1,6,1,8
Bluetooth USB,7,0,1,8
wireless microphones,0,4,4,8
even baby cam system,8,0,0,8
160mbs speeds,8,0,0,8
these protection features,0,8,0,8
missing boot device,8,0,0,8
minimal single input customization features,0,8,0,8
all its great features,0,0,8,8
almost all monitors,0,8,0,8
really good camera,0,0,8,8
Bluetooth Earbuds,6,1,1,8
indoor and short distance applications,8,0,0,8
such a new computer,8,0,0,8
extremely flimsy (breaks,8,0,0,8
extremely light.<br /><br />I,0,8,0,8
1600x,0,8,0,8
Samsung's idea,8,0,0,8
even keyboard response,8,0,0,8
even iPads,0,8,0,8
&#34;Lowepro&#34; camera bag,0,8,0,8
Bluetooth conection,0,0,8,8
all.<br />Map voice guidance,0,8,0,8
its charging stand,0,8,0,8
its compact design,0,0,8,8
indoor surveillance,0,0,8,8
really good and colorful rubber “cases,0,0,8,8
pretty decent small size,8,0,0,8
pretty decent menus,0,0,8,8
Bluetooth Headset,1,7,0,8
all its not a bad product,8,0,0,8
all magnetic devices,8,0,0,8
all your various devices,0,8,0,8
these Bluetooth wireless headset,0,0,8,8
even mobile device,0,0,8,8
even memory card readers,0,8,0,8
even my Samsung watch,0,8,0,8
even my HP monitor,8,0,0,8
even my mouse,8,0,0,8
pretty good phone processor,0,0,8,8
$150 keyboard,0,8,0,8
wireless phones,0,7,1,8
all your Alexa devices,8,0,0,8
these overwhelmingly positive reviews,0,8,0,8
these poorly designed cameras,8,0,0,8
even some first-party brand-name equipment,8,0,0,8
many professional brands.<br,8,0,0,8
Hard Disk,8,0,0,8
many positive attributes,0,0,8,8
all your systems resources,8,0,0,8
all kinds/styles,8,0,0,8
all/multiple cameras,8,0,0,8
really cheap looking,8,0,0,8
indoor low light quality,8,0,0,8
inept user interface design,8,0,0,8
$30 ear pods,0,0,8,8
inferior parts,8,0,0,8
inexpensive<br />• charges,0,8,0,8
such a pricey headset,8,0,0,8
Handy widget,0,8,0,8
many public wifi centers,8,0,0,8
these other apps,8,0,0,8
these other additional Design Flaws,8,0,0,8
mini SD,0,8,0,8
mini size,0,7,1,8
mini laptops,0,8,0,8
mini iPad,7,1,0,8
Most webcams,0,8,0,8
all microphonics,0,8,0,8
all my Anker cables,0,0,8,8
all motherboards,3,1,4,8
all three ports,1,6,1,8
input ports,0,8,0,8
instant (cell phone camera) gratification,8,0,0,8
Samsung Tablet,0,6,2,8
some major manufacturer,8,0,0,8
some minor improvements,0,3,5,8
Really low end,8,0,0,8
Really just poor quality,8,0,0,8
Nice bass sound,0,0,8,8
all three devices,0,0,8,8
all touch functions,0,0,8,8
pretty much a straight Office application computer,0,8,0,8
pretty poor performance,8,0,0,8
Blink's tech support,5,3,0,8
really crisp pictures,0,7,1,8
wireless purposes,0,8,0,8
all those cords,0,2,6,8
#34;keyboard&#34,0,8,0,8
all those boxes,0,7,1,8
even the dpi,0,8,0,8
some more features,0,6,2,8
microphone.<br /><br />The,8,0,0,8
these new TRENDnet adapters,0,0,8,8
16GB TOTAL,0,8,0,8
Nice big display!<br />HP,0,0,8,8
all those updates,0,8,0,8
all those tabs,8,0,0,8
all those small accessories,8,0,0,8
all those settings,0,7,1,8
#34;thin&#34,0,8,0,8
wireless portable keyboard,0,8,0,8
